1
 OUTPUT FROM NONPUL:
  INITIAL MODEL IN HYDROSTATIC AND THERMAL BALANCE

  ZAMS 130 Msun to test the complete integrator                                      200 ZONES

     TOTAL LUMINOSITY= 7.7397E+39 TOTAL MASS= 2.5883E+35 EFFECTIVE TEMP.= 5.5266E+04
       PHOTOSPHERIC RADIUS= 1.0791E+12 CORE RADIUS= 6.2950E+10 CORE LUM.= 7.2700E+38
 IRAD= 1 NOBURN= 0 ONEMQ0= 1.000E+00 ONEMQ1= 1.000E+00 RLUMS= 7.740E+39 RLUMC= 7.740E+33
           IOUT= 0 IHMIN=  0 IHMAX=  0
   I   RADIUS     TEMP     SP.VOL   PRESSURE     G1       G3M1     OPACITY   DLKDLR    DLKDLT      CV       FRFT    INT.MASS
   85 4.549E+11 2.111E+07 5.081E+00 1.053E+15 1.431E+00 3.738E-01 3.369E-01 6.484E-03-2.783E-02 1.645E+09 8.008E-01 1.770E+35
   86 4.611E+11 2.075E+07 5.322E+00 9.854E+14 1.432E+00 3.740E-01 3.369E-01 6.636E-03-2.846E-02 1.637E+09 5.657E-01 1.801E+35
   87 4.676E+11 2.037E+07 5.585E+00 9.197E+14 1.432E+00 3.742E-01 3.370E-01 6.798E-03-2.912E-02 1.629E+09 6.290E-01 1.833E+35
   88 4.742E+11 1.999E+07 5.872E+00 8.558E+14 1.432E+00 3.744E-01 3.371E-01 6.970E-03-2.984E-02 1.620E+09 6.860E-01 1.864E+35
   89 4.811E+11 1.961E+07 6.189E+00 7.938E+14 1.433E+00 3.746E-01 3.372E-01 7.155E-03-3.060E-02 1.611E+09 7.369E-01 1.896E+35
   90 4.882E+11 1.921E+07 6.539E+00 7.337E+14 1.433E+00 3.749E-01 3.372E-01 7.353E-03-3.142E-02 1.601E+09 7.822E-01 1.928E+35
   91 4.956E+11 1.879E+07 6.928E+00 6.754E+14 1.434E+00 3.751E-01 3.373E-01 7.567E-03-3.231E-02 1.591E+09 8.222E-01 1.961E+35
   92 5.033E+11 1.837E+07 7.362E+00 6.190E+14 1.434E+00 3.754E-01 3.374E-01 7.798E-03-3.328E-02 1.581E+09 8.572E-01 1.993E+35
   93 5.114E+11 1.793E+07 7.849E+00 5.646E+14 1.434E+00 3.757E-01 3.375E-01 8.050E-03-3.433E-02 1.569E+09 8.877E-01 2.027E+35
   94 5.198E+11 1.748E+07 8.401E+00 5.122E+14 1.435E+00 3.760E-01 3.376E-01 8.325E-03-3.548E-02 1.558E+09 9.140E-01 2.060E+35
