
     FNPOL  3.000 RADIUS=   5.604624E+00
1 polytropic model in hydrostatic balance


 fnpol=  3.00 guess for surface radius= 5.604E+00 alpha= 1.784E-01
   lambda= 1.565E-02 rhobar= 2.387E-01 totmas= 1.000E+00 int. mass= 1.206E+00 diff.=-2.065E-01
  rz0= 1.684E-03 p0= 2.450E-05 rho0= 1.565E-02
 max. g in zone  273 radius = 9.192E-01 mass =  9.516E-01
 Asymptotic frequency for p modes is  0.0000E+00
   Eotvos parameters are   1.000E+00  1.000
   i     xi       theta     dthdr    radius      p        rho        g         rm       dm1       rzone
  145 2.717E+00 1.907E+00 2.056E+01 4.882E-01 3.312E-04 1.103E-01 1.001E-01 3.147E-02 1.121E-03 4.899E-01
  146 2.736E+00 1.917E+00 2.135E+01 4.916E-01 3.389E-04 1.123E-01 1.025E-01 3.254E-02 1.156E-03 4.933E-01
  147 2.755E+00 1.928E+00 2.217E+01 4.949E-01 3.468E-04 1.142E-01 1.050E-01 3.364E-02 1.192E-03 4.966E-01
  148 2.774E+00 1.940E+00 2.301E+01 4.983E-01 3.549E-04 1.162E-01 1.075E-01 3.477E-02 1.229E-03 5.000E-01
  149 2.793E+00 1.951E+00 2.389E+01 5.017E-01 3.632E-04 1.182E-01 1.101E-01 3.593E-02 1.268E-03 5.034E-01
  150 2.812E+00 1.962E+00 2.479E+01 5.051E-01 3.717E-04 1.203E-01 1.127E-01 3.713E-02 1.307E-03 5.067E-01
  151 2.831E+00 1.974E+00 2.573E+01 5.084E-01 3.804E-04 1.224E-01 1.154E-01 3.837E-02 1.348E-03 5.101E-01
  152 2.849E+00 1.985E+00 2.669E+01 5.118E-01 3.894E-04 1.246E-01 1.181E-01 3.964E-02 1.390E-03 5.135E-01
  153 2.868E+00 1.997E+00 2.769E+01 5.152E-01 3.986E-04 1.268E-01 1.209E-01 4.095E-02 1.433E-03 5.168E-01
  154 2.887E+00 2.008E+00 2.872E+01 5.185E-01 4.081E-04 1.290E-01 1.237E-01 4.231E-02 1.477E-03 5.202E-01
  155 2.906E+00 2.020E+00 2.978E+01 5.219E-01 4.178E-04 1.313E-01 1.266E-01 4.370E-02 1.523E-03 5.236E-01
  156 2.925E+00 2.032E+00 3.087E+01 5.253E-01 4.277E-04 1.337E-01 1.296E-01 4.513E-02 1.570E-03 5.269E-01
  157 2.944E+00 2.044E+00 3.201E+01 5.286E-01 4.380E-04 1.361E-01 1.326E-01 4.661E-02 1.619E-03 5.303E-01
  158 2.963E+00 2.056E+00 3.318E+01 5.320E-01 4.485E-04 1.385E-01 1.357E-01 4.813E-02 1.669E-03 5.337E-01
  159 2.982E+00 2.068E+00 3.438E+01 5.354E-01 4.593E-04 1.410E-01 1.389E-01 4.970E-02 1.721E-03 5.370E-01
  160 3.000E+00 2.081E+00 3.563E+01 5.387E-01 4.704E-04 1.435E-01 1.421E-01 5.132E-02 1.774E-03 5.404E-01
  161 3.019E+00 2.093E+00 3.692E+01 5.421E-01 4.818E-04 1.461E-01 1.454E-01 5.298E-02 1.828E-03 5.438E-01
  162 3.038E+00 2.106E+00 3.824E+01 5.455E-01 4.934E-04 1.488E-01 1.487E-01 5.469E-02 1.885E-03 5.471E-01
  163 3.057E+00 2.118E+00 3.961E+01 5.488E-01 5.055E-04 1.515E-01 1.522E-01 5.645E-02 1.943E-03 5.505E-01
  164 3.076E+00 2.131E+00 4.103E+01 5.522E-01 5.178E-04 1.543E-01 1.557E-01 5.827E-02 2.002E-03 5.539E-01
  165 3.095E+00 2.144E+00 4.248E+01 5.556E-01 5.305E-04 1.571E-01 1.592E-01 6.014E-02 2.064E-03 5.572E-01
  166 3.114E+00 2.157E+00 4.399E+01 5.589E-01 5.435E-04 1.600E-01 1.629E-01 6.206E-02 2.127E-03 5.606E-01
  167 3.133E+00 2.170E+00 4.554E+01 5.623E-01 5.569E-04 1.629E-01 1.666E-01 6.405E-02 2.193E-03 5.640E-01
  168 3.151E+00 2.183E+00 4.714E+01 5.657E-01 5.706E-04 1.659E-01 1.704E-01 6.609E-02 2.260E-03 5.673E-01
  169 3.170E+00 2.197E+00 4.879E+01 5.690E-01 5.847E-04 1.690E-01 1.742E-01 6.819E-02 2.329E-03 5.707E-01
  170 3.189E+00 2.210E+00 5.050E+01 5.724E-01 5.992E-04 1.721E-01 1.782E-01 7.035E-02 2.400E-03 5.741E-01
  171 3.208E+00 2.224E+00 5.225E+01 5.758E-01 6.141E-04 1.753E-01 1.822E-01 7.258E-02 2.474E-03 5.774E-01
